date,year,month,month_number,year_number,total_arr,total_customers,total_new_customers,total_churned_customers,monthly_revenue,total_cogs,total_compensation,total_marketing_expenses,total_sales_expenses,total_r_and_d_expenses,total_g_and_a_expenses,one_time_expenses,total_operating_expenses,total_headcount,gross_profit,gross_margin,ebitda,ebitda_margin,cash_flow,capital,burn_rate,runway_months,sales_marketing_expense,cac,arpu,monthly_margin_per_customer,customer_lifetime_months,ltv,ltv_cac_ratio,cumulative_cash_flow,profitable_month
2025-01-01,2025,1,1,1,704000.0,9,0,0,58666.666666666664,9973.333333333334,174000.0,12320.0,6922.666666666667,6453.333333333334,43700.0,0.0,243396.0,12.0,48693.33333333333,0.83,-194702.6666666667,-3.318795454545455,-194702.6666666667,5000000.0,194702.6666666667,25.680182432015993,19242.666666666668,,78222.22222222222,5410.3703703703695,120.0,391111.1111111111,,-194702.6666666667,False
2025-01-31,2025,1,2,1,704000.0,9,0,0,58666.666666666664,9973.333333333334,174000.0,12320.0,6922.666666666667,6453.333333333334,43700.0,0.0,243396.0,12.0,48693.33333333333,0.83,-194702.6666666667,-3.318795454545455,-194702.6666666667,4805297.333333333,194702.6666666667,24.680182432015993,19242.666666666668,,78222.22222222222,5410.3703703703695,106.99999999999999,391111.1111111111,,-389405.3333333334,False
2025-03-02,2025,3,3,1,704000.0,9,0,0,58666.666666666664,9973.333333333334,174000.0,12320.0,6922.666666666667,6453.333333333334,43700.0,0.0,243396.0,12.0,48693.33333333333,0.83,-194702.6666666667,-3.318795454545455,-194702.6666666667,4610594.666666666,194702.6666666667,23.680182432015993,19242.666666666668,,78222.22222222222,5410.3703703703695,106.99999999999999,391111.1111111111,,-584108.0,False
2025-04-01,2025,4,4,1,704000.0,9,0,0,58666.666666666664,9973.333333333334,174000.0,12320.0,6922.666666666667,6453.333333333334,43700.0,0.0,243396.0,12.0,48693.33333333333,0.83,-194702.6666666667,-3.318795454545455,-194702.6666666667,4415891.999999999,194702.6666666667,22.68018243201599,19242.666666666668,5000.0,78222.22222222222,5410.3703703703695,106.99999999999999,391111.1111111111,10.0,-778810.6666666667,False
2025-05-01,2025,5,5,1,704000.0,9,0,0,58666.666666666664,9973.333333333334,174000.0,12320.0,6922.666666666667,6453.333333333334,43700.0,60000.0,303396.0,12.0,48693.33333333333,0.83,-254702.6666666667,-4.341522727272728,-254702.6666666667,4161189.3333333326,254702.6666666667,16.337439210164003,19242.666666666668,5000.0,78222.22222222222,5410.3703703703695,106.99999999999999,391111.1111111111,10.0,-1033513.3333333335,False
2025-05-31,2025,5,6,1,704000.0,9,0,0,58666.666666666664,9973.333333333334,174000.0,12320.0,6922.666666666667,6453.333333333334,43700.0,0.0,243396.0,12.0,48693.33333333333,0.83,-194702.6666666667,-3.318795454545455,-194702.6666666667,3966486.666666666,194702.6666666667,20.3720202428318,19242.666666666668,5000.0,78222.22222222222,5410.3703703703695,106.99999999999999,391111.1111111111,10.0,-1228216.0000000002,False
2025-06-30,2025,6,7,1,704000.0,9,0,0,58666.666666666664,9973.333333333334,174000.0,12320.0,6922.666666666667,6453.333333333334,43700.0,0.0,243396.0,12.0,48693.33333333333,0.83,-194702.6666666667,-3.318795454545455,-194702.6666666667,3771783.9999999995,194702.6666666667,19.372020242831802,19242.666666666668,5000.0,78222.22222222222,5410.3703703703695,106.99999999999999,391111.1111111111,10.0,-1422918.666666667,False
2025-07-30,2025,7,8,1,704000.0,9,0,0,58666.666666666664,9973.333333333334,174000.0,12320.0,6922.666666666667,6453.333333333334,43700.0,0.0,243396.0,12.0,48693.33333333333,0.83,-194702.6666666667,-3.318795454545455,-194702.6666666667,3577081.333333333,194702.6666666667,18.372020242831802,19242.666666666668,5000.0,78222.22222222222,5410.3703703703695,106.99999999999999,391111.1111111111,10.0,-1617621.3333333337,False
2025-08-29,2025,8,9,1,704000.0,9,0,0,58666.666666666664,9973.333333333334,174000.0,12320.0,6922.666666666667,6453.333333333334,43700.0,0.0,243396.0,12.0,48693.33333333333,0.83,-194702.6666666667,-3.318795454545455,-194702.6666666667,3382378.6666666665,194702.6666666667,17.372020242831802,19242.666666666668,5000.0,78222.22222222222,5410.3703703703695,106.99999999999999,391111.1111111111,10.0,-1812324.0000000005,False
2025-09-28,2025,9,10,1,704000.0,9,0,0,58666.666666666664,9973.333333333334,174000.0,12320.0,6922.666666666667,6453.333333333334,43700.0,0.0,243396.0,12.0,48693.33333333333,0.83,-194702.6666666667,-3.318795454545455,-194702.6666666667,3187676.0,194702.6666666667,16.372020242831802,19242.666666666668,5000.0,78222.22222222222,5410.3703703703695,106.99999999999999,391111.1111111111,10.0,-2007026.6666666672,False
2025-10-28,2025,10,11,1,704000.0,9,0,0,58666.666666666664,9973.333333333334,174000.0,12320.0,6922.666666666667,6453.333333333334,43700.0,10000.0,253396.0,12.0,48693.33333333333,0.83,-204702.6666666667,-3.4892500000000006,-204702.6666666667,2982973.3333333335,204702.6666666667,14.572225080930389,19242.666666666668,5000.0,78222.22222222222,5410.3703703703695,106.99999999999999,391111.1111111111,10.0,-2211729.333333334,False
2025-11-27,2025,11,12,1,704000.0,9,0,0,58666.666666666664,9973.333333333334,174000.0,12320.0,6922.666666666667,6453.333333333334,43700.0,0.0,243396.0,12.0,48693.33333333333,0.83,-194702.6666666667,-3.318795454545455,-194702.6666666667,2788270.666666667,194702.6666666667,14.320659877967774,19242.666666666668,5000.0,78222.22222222222,5410.3703703703695,106.99999999999999,391111.1111111111,10.0,-2406432.0000000005,False
2025-12-27,2025,12,13,2,739440.0,8,0,1,61620.0,10475.4,327915.0,10999.170000000002,7271.16,6778.200000000001,73770.0,0.0,426733.52999999997,21.7,51144.6,0.83,-375588.93,-6.095243914313534,-375588.93,2412681.736666667,375588.93,6.423729625542124,18270.33,5000.0,92430.0,6393.075,106.99999999999999,462150.0,10.0,-2782020.9300000006,False
2026-01-26,2026,1,14,2,739440.0,8,0,0,61620.0,10475.4,327915.0,10999.170000000002,7271.16,6778.200000000001,73770.0,0.0,426733.52999999997,21.7,51144.6,0.83,-375588.93,-6.095243914313534,-375588.93,2037092.8066666669,375588.93,5.423729625542124,18270.33,5000.0,92430.0,6393.075,139.0,462150.0,10.0,-3157609.860000001,False
2026-02-25,2026,2,15,2,739440.0,8,0,0,61620.0,10475.4,327915.0,10999.170000000002,7271.16,6778.200000000001,73770.0,0.0,426733.52999999997,21.7,51144.6,0.83,-375588.93,-6.095243914313534,-375588.93,1661503.876666667,375588.93,4.423729625542124,18270.33,5000.0,92430.0,6393.075,139.0,462150.0,10.0,-3533198.790000001,False
2026-03-27,2026,3,16,2,739440.0,8,0,0,61620.0,10475.4,327915.0,10999.170000000002,7271.16,6778.200000000001,73770.0,0.0,426733.52999999997,21.7,51144.6,0.83,-375588.93,-6.095243914313534,-375588.93,1285914.946666667,375588.93,3.423729625542124,18270.33,5000.0,92430.0,6393.075,139.0,462150.0,10.0,-3908787.720000001,False
2026-04-26,2026,4,17,2,866640.0,9,1,0,72220.0,12277.4,327915.0,12891.27,8521.96,7944.2,73770.0,0.0,431042.43000000005,21.7,59942.6,0.83,-371099.8300000001,-5.138463445029079,-371099.8300000001,914815.1166666669,371099.8300000001,2.465145609650823,21413.23,57953.89,96293.33333333333,6660.288888888888,139.0,481466.6666666666,8.307754089788737,-4279887.550000001,False
2026-05-26,2026,5,18,2,993840.0,10,1,0,82820.0,14079.4,327915.0,14783.369999999999,9772.76,9110.2,73770.0,0.0,435351.33,21.7,68740.6,0.8300000000000001,-366610.73,-4.426596595025356,-366610.73,548204.386666667,366610.73,1.495330992267103,24556.129999999997,32119.844999999998,99384.0,6874.06,139.0,496920.0,10.0,-4646498.280000001,False
2026-06-25,2026,6,19,2,1121040.0,11,1,0,93420.0,15881.4,327915.0,16675.47,11023.56,10276.2,73770.0,0.0,439660.23,21.7,77538.6,0.8300000000000001,-362121.63,-3.8762752087347465,-362121.63,186082.75666666694,362121.63,0.5138681074275153,27699.03,24556.13,101912.72727272728,7048.963636363637,139.0,509563.6363636364,10.0,-5008619.910000001,False
2026-07-25,2026,7,20,2,1248240.0,12,1,0,104020.0,17683.4,327915.0,18567.57,12274.36,11442.2,73770.0,0.0,443969.13,21.7,86336.6,0.8300000000000001,-357632.53,-3.438113151317055,-357632.53,-171549.77333333308,357632.53,120.0,30841.93,27699.03,104020.0,7194.716666666667,139.0,520100.0,10.0,-5366252.440000001,False
2026-08-24,2026,8,21,2,1375440.0,13,1,0,114620.0,19485.4,327915.0,20459.67,13525.16,12608.2,73770.0,0.0,448278.02999999997,21.7,95134.6,0.8300000000000001,-353143.42999999993,-3.0809931076600936,-353143.42999999993,-524693.203333333,353143.42999999993,120.0,33984.83,30841.930000000004,105803.07692307692,7318.046153846154,139.0,529015.3846153846,10.0,-5719395.870000001,False
2026-09-23,2026,9,22,2,1502640.0,14,1,0,125220.0,21287.4,327915.0,22351.769999999997,14775.960000000001,13774.2,73770.0,0.0,452586.93000000005,21.7,103932.6,0.8300000000000001,-348654.3300000001,-2.784334211787255,-348654.3300000001,-873347.5333333331,348654.3300000001,120.0,37127.729999999996,33984.829999999994,107331.42857142857,7423.757142857143,139.0,536657.1428571428,10.0,-6068050.200000001,False
