Month,Original_Revenue_M,Optimized_Revenue_M,Original_EBITDA_M,Optimized_EBITDA_M,Original_Customers,Optimized_Customers
1,0.031,0.031,-0.10143,-0.20026866666666665,5,5
2,0.036,0.0485,-0.09933,-0.19925366666666666,7,8
3,0.0545,0.073,-0.09156,-0.19783266666666666,11,15
4,0.078,0.121,-0.08169,-0.19504866666666662,17,28
5,0.1075,0.182,-0.0693,-0.19151066666666663,26,48
6,0.1615,0.292,-0.04662,-0.18513066666666664,42,82
7,0.2155,0.397,-0.02394,-0.17904066666666663,58,114
8,0.2705,0.503,-0.00084,-0.17289266666666664,75,147
9,0.35,0.6395,0.03255,-0.16497566666666663,99,190
10,0.4355,0.781,0.06846,-0.15676866666666664,126,235
11,0.52,0.9165,0.10395,-0.14890966666666663,152,277
12,0.6095,1.058,0.14154,-0.14070266666666661,180,322
13,0.6095,1.059,0.08595093333333335,-0.2303114666666667,180,323
14,0.6145,1.0775,0.08817493333333334,-0.22877966666666663,182,327
15,0.633,1.106,0.0964037333333334,-0.2264198666666667,186,335
16,0.6565,1.161,0.10685653333333332,-0.2218658666666667,192,352
17,0.7045,1.265,0.12820693333333336,-0.2132546666666665,205,383
18,0.782,1.43,0.16267893333333336,-0.1995926666666665,227,434
19,0.8615,1.589,0.19804053333333332,-0.1864274666666668,251,482
20,0.947,1.748,0.23607093333333334,-0.1732622666666666,278,530
21,1.0745,1.956,0.29278293333333333,-0.1560398666666667,315,592
22,1.208,2.1875,0.3521637333333333,-0.1368716666666665,355,660
23,1.3405,2.3905,0.4110997333333333,-0.1200632666666666,394,720
24,1.475,2.618,0.47092533333333336,-0.1012262666666666,435,787
25,1.471,2.615,0.42488891333333334,-0.16715266000000015,434,787
26,1.472,2.6295,0.4253554133333333,-0.16563741000000015,435,790
27,1.4915,2.6715,0.4344521633333333,-0.16124841000000015,440,800
28,1.517,2.746,0.44634791333333335,-0.18346316000000015,448,822
29,1.571,2.903,0.4715389133333333,-0.13705666000000014,464,868
30,1.676,3.166,0.5205214133333333,-0.10957316000000016,496,947
31,1.792,3.4185,0.5746354133333333,-0.08318691000000016,533,1024
32,1.9295,3.6835,0.6387791633333333,-0.05549441000000015,574,1102
33,2.117,4.0125,0.7262479133333334,-0.02111391000000015,630,1200
34,2.3155,4.361,0.8188481633333333,0.01530433999999985,691,1303
35,2.508,4.68,0.9086494133333334,0.04863983999999985,749,1397
36,2.72,5.0245,1.0075474133333333,0.08464008999999985,812,1499
37,2.716,5.0215,0.9658035071999999,0.03285766186666675,811,1499
38,2.7295,5.036,0.9723105071999999,0.03459766186666675,813,1502
39,2.748,5.0915,0.9812275071999998,0.041257661866666746,817,1514
40,2.79,5.205,1.0014715071999998,0.054877661866666747,827,1543
41,2.8675,5.4195,1.0388265071999998,0.08061766186666675,849,1603
42,3.0165,5.792,1.1106445072,0.12531766186666676,893,1710
43,3.1855,6.147,1.1921025071999998,0.16791766186666676,945,1811
44,3.38,6.501,1.2858515071999999,0.21039766186666675,1005,1911
45,3.6305,6.9445,1.4065925071999998,0.26361766186666674,1083,2039
46,3.9055,7.424,1.5391425071999998,0.3211576618666667,1168,2174
47,4.1685,7.8525,1.6659085072,0.37257766186666674,1247,2296
48,4.457,8.324,1.8049655072,0.42915766186666676,1334,2429
49,4.458,8.313,1.7864306607146663,0.4201026817386672,1335,2427
50,4.4725,8.3195,1.7936444107146663,0.4209834317386672,1338,2428
51,4.493,8.325,1.8038431607146663,0.4217286817386672,1344,2428
52,4.543,8.3695,1.8287181607146663,0.4277584317386672,1359,2435
53,4.642,8.461,1.8779706607146665,0.4401566817386672,1388,2454
54,4.8175,8.643,1.9652819107146664,0.46481768173866717,1441,2502
55,5.009,8.864,2.0605531607146665,0.4947631817386672,1501,2568
56,5.226,9.135,2.1685106607146665,0.5314836817386672,1569,2649
57,5.516,9.4835,2.3127856607146664,0.5787054317386672,1663,2755
58,5.8345,9.875,2.4712394107146665,0.6317536817386672,1765,2872
59,6.136,10.237,2.6212356607146665,0.6808046817386672,1859,2980
60,6.468,10.6185,2.7864056607146663,0.7324979317386672,1963,3096
61,6.466,10.6035,2.7910178400989865,0.7688884819639464,1964,3093
62,6.4865,10.603,2.8015343400989865,0.7688129819639464,1970,3093
63,6.5235,10.621,2.820515340098986,0.7715309819639465,1981,3097
64,6.59,10.679,2.8546298400989865,0.7802889819639465,2001,3109
65,6.7005,10.7735,2.9113163400989865,0.7945584819639465,2033,3134
66,6.911,10.974,3.0193028400989865,0.8248339819639474,2095,3189
67,7.1395,11.227,3.1365233400989863,0.8630369819639465,2163,3261
68,7.385,11.5135,3.2624648400989864,0.9062984819639465,2239,3346
69,7.7295,11.913,3.4391933400989863,0.9666229819639465,2344,3465
70,8.115,12.34,3.6369548400989866,1.0310999819639466,2461,3594
71,8.473,12.7345,3.8206088400989864,1.0906694819639464,2568,3714
72,8.8585,13.177,4.018370340098986,1.1574869819639464,2685,3847
